"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","1990-Q4",2.033266271,
"KOR","QGDP","TOT","PC_CHGPP","Q","1991-Q1",3.750176278,
"KOR","QGDP","TOT","PC_CHGPP","Q","1991-Q2",1.661478045,
"KOR","QGDP","TOT","PC_CHGPP","Q","1991-Q3",2.145297059,
"KOR","QGDP","TOT","PC_CHGPP","Q","1991-Q4",2.503572026,
"KOR","QGDP","TOT","PC_CHGPP","Q","1992-Q1",1.780392603,
"KOR","QGDP","TOT","PC_CHGPP","Q","1992-Q2",0.701694982,
"KOR","QGDP","TOT","PC_CHGPP","Q","1992-Q3",0.067624061,
"KOR","QGDP","TOT","PC_CHGPP","Q","1992-Q4",1.560677644,
"KOR","QGDP","TOT","PC_CHGPP","Q","1993-Q1",1.990657829,
"KOR","QGDP","TOT","PC_CHGPP","Q","1993-Q2",2.565331673,
"KOR","QGDP","TOT","PC_CHGPP","Q","1993-Q3",1.843683328,
"KOR","QGDP","TOT","PC_CHGPP","Q","1993-Q4",1.913663988,
"KOR","QGDP","TOT","PC_CHGPP","Q","1994-Q1",2.916855703,
"KOR","QGDP","TOT","PC_CHGPP","Q","1994-Q2",1.631592096,
"KOR","QGDP","TOT","PC_CHGPP","Q","1994-Q3",1.682199111,
"KOR","QGDP","TOT","PC_CHGPP","Q","1994-Q4",3.930438208,
"KOR","QGDP","TOT","PC_CHGPP","Q","1995-Q1",2.090489418,
"KOR","QGDP","TOT","PC_CHGPP","Q","1995-Q2",2.021824591,
"KOR","QGDP","TOT","PC_CHGPP","Q","1995-Q3",2.075873115,
"KOR","QGDP","TOT","PC_CHGPP","Q","1995-Q4",1.870552316,
"KOR","QGDP","TOT","PC_CHGPP","Q","1996-Q1",1.908135199,
"KOR","QGDP","TOT","PC_CHGPP","Q","1996-Q2",2.020152462,
"KOR","QGDP","TOT","PC_CHGPP","Q","1996-Q3",1.758931416,
"KOR","QGDP","TOT","PC_CHGPP","Q","1996-Q4",1.691579214,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.46806387,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q2",3.550552773,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.791744376,
"KOR","QGDP","TOT","PC_CHGPP","Q","1997-Q4",-0.455994331,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q1",-6.818021985,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q2",-0.807932069,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q3",1.747151805,
"KOR","QGDP","TOT","PC_CHGPP","Q","1998-Q4",2.496049822,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q1",3.03463255,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q2",4.383164849,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q3",2.781170984,
"KOR","QGDP","TOT","PC_CHGPP","Q","1999-Q4",2.886255375,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q1",1.895051738,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q2",1.332510215,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q3",2.754591172,
"KOR","QGDP","TOT","PC_CHGPP","Q","2000-Q4",-0.324457972,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q1",1.225554801,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q2",1.298881026,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q3",1.350193624,
"KOR","QGDP","TOT","PC_CHGPP","Q","2001-Q4",1.762585517,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q1",2.544481592,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q2",1.812135416,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q3",2.021812956,
"KOR","QGDP","TOT","PC_CHGPP","Q","2002-Q4",1.097353992,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q1",-0.659159835,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q2",-0.154146863,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.932669509,
"KOR","QGDP","TOT","PC_CHGPP","Q","2003-Q4",2.639479586,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q1",1.254800591,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.763499369,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.405586129,
"KOR","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.757933774,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.850903369,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q2",1.887062862,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.505330894,
"KOR","QGDP","TOT","PC_CHGPP","Q","2005-Q4",1.012464666,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.639117138,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.730602028,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q3",1.613954951,
"KOR","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.779357615,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q1",1.674043596,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q2",1.730290857,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.173831453,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q4",2.156948555,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.402394858,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.523473003,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.815881043,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-3.283889347,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q1",0.089986722,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q2",1.332777638,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q3",2.992674785,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.746867545,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q1",1.959076739,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.899801372,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q3",1.15521508,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.219318711,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.933130719,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.490791061,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.526323638,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.472298068,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.865665953,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.565974618,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.45177694,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.502248725,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.859424906,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",1.166152951,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.856151759,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.874915753,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.856974689,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.87785841,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.311317266,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.490638748,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.77536404,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.483265163,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.44296871,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.703947532,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.285955753,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.206465365,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.415940623,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.606194491,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.984785463,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.714647727,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.441838418,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.319868975,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.205851771,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.636597085,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.730848332,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.700312956,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.198579317,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.059905534,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.527437881,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.271115777,
